store_no,store_nm,addr
100,제이에이치(JH)인테리어,경상남도 창원시 마산합포구 자산동
132,이로아 뷰티,서울특별시 중구 신당동
139,미미베이킹,부산광역시 기장군 정관읍 달산리
261,경일세무회계사무소,인천광역시 남동구 만수동
284,안경공장공장장 콘택트 남대문코코점,서울특별시 중구 남창동
293,가든쿡 파스타and필라프,경기도 김포시 구래동
712,(주)라온7(Raon7),서울특별시 영등포구 신길동
1282,금담은,충청북도 진천군 광혜원면 광혜원리
1443,영양축제관광재단,경상북도 영양군 영양읍 서부리
1554,비아니슈즈악세사리,경상남도 창원시 마산회원구 내서읍 삼계리
1657,페이보릿174,충청남도 서산시 예천동
1827,봄슈퍼,경상북도 예천군 풍양면 효갈리
1829,한국신문잉크(주),경기도 안산시 단원구 목내동
2116,다윤샵,경기도 화성시 산척동
2238,한국수산업,경상북도 포항시 남구 오천읍 용덕리
2641,티엔에스(TNS),경기도 남양주시 다산동
2802,학동농장 농업회사법인 유한회사,전라남도 해남군 문내면 학동리
2815,옥정우리유치원,경기도 양주시 옥정동
2996,와유포토,경상남도 양산시 중부동
3015,씨유(CU)봉명베스트점,충청남도 천안시 동남구 봉명동
3028,세느린,전라북도 익산시 신동
3095,샤인홈,경기도 파주시 조리읍 능안리
3131,이화산업개발,대구광역시 달서구 도원동
3211,미주주닥,경상남도 김해시 삼정동
3241,윤이네 장칼국수,경기도 광주시 오포읍 양벌리
3288,로로 LOLO,부산광역시 부산진구 부전동
3417,주식회사 온텐,서울특별시 강남구 논현동
3479,카페151,경기도 화성시 팔탄면
3688,주식회사 강호이앤티,경기도 양주시 삼숭동
3776,GS25 서송병원점 (상품권),인천광역시 계양구 계산동
3918,진천아카데미 당구클럽,대구광역시 달서구 진천동
4067,상봉바른마디의원,서울특별시 중랑구 상봉동
4427,유밀,대전광역시 유성구 궁동
4604,천리마마트,광주광역시 북구 중흥동
4693,간쫄닭,충청남도 서산시 동문동
4702,린 숯불닭갈비,인천광역시 부평구 부개동
4707,청년다방 인천강화점,인천광역시 강화군 강화읍 관청리
4823,국제유통,부산광역시 북구 덕천동
4957,주식회사 에이엠텐,대전광역시 유성구 지족동
5013,오케이 포차,인천광역시 강화군 강화읍 신문리
5059,파니현 은 (실버) 쥬얼리 (공방),경상남도 창원시 의창구 대원동
5066,제이아트(J-art) 화성. 평택지사,경기도 수원시 영통구 신동
5192,유한회사 영은상사,광주광역시 광산구 산정동
5210,전기차충전(구)_스마트로3,서울특별시 양천구 목동
5286,아시안마트(ASIAN Mart),충청북도 단양군 단양읍 별곡리
5360,제주은희네해장국 천안직산점,충청남도 천안시 서북구 직산읍
5448,디저트보니,전라북도 완주군 삼례읍 후정리
5763,더마지끄,충청남도 천안시 서북구 불당동
5913,커튼하우스,전라남도 고흥군 고흥읍 남계리
6041,백옥생부산제일,부산광역시 동래구 명륜동
6048,부자멀티샵,전라북도 김제시 신풍동
6144,박 인테리어,충청남도 논산시 취암동
6174,밀림다방,전라북도 남원시 하정동
6192,인조이헤어연경3호점,대구광역시 북구 연경동
6253,국민낙곱새 서구점,인천광역시 서구 심곡동
6256,롯데시네마 당진(온라인),충청남도 당진시 수청동
6339,김복남맥주 진도점,전라남도 진도군 진도읍 남동리
6340,씨유(CU) 삼척SK남양점,강원도 삼척시 남양동
6488,온그린,경상남도 거제시 수월동
6515,파워플레이어 에프엔비,서울특별시 성동구 성수동2가
6598,위드유 공부방,경기도 의정부시 장암동
6610,한성컴퍼니주식회사,부산광역시 서구 부민동2가
6678,향남집밥,경기도 화성시 향남읍 하길리
6811,킴남매엔터테인먼트,충청남도 홍성군 홍성읍 오관리
6894,디자인바흐(design bach),인천광역시 서구 마전동
6899,진주가정연합의원,경상남도 진주시 상대동
7041,씨유(CU) 마석시인의정원점,경기도 남양주시 화도읍
7137,미미곱창딜리버리,경기도 하남시 망월동
7286,씨유(CU) 강동프라자점,서울특별시 강동구 둔촌동
7321,노벨스터디카페 평화점,전라북도 전주시 완산구 평화동2가
7438,주식회사 의왕현대자동차,경기도 군포시 당정동
7599,민니플라워당감점,부산광역시 부산진구 당감동
7604,주식회사 탑산식품,충청북도 진천군 덕산읍 합목리
7733,NS휘트니스,광주광역시 북구 오치동
7830,치킨플러스선부2호점,경기도 안산시 단원구 선부동
7842,글래드(GLAD),서울특별시 영등포구 당산동1가
7853,두리야미술교습소,서울특별시 구로구 항동
8179,유가솜씨 닭갈비 센텀점,부산광역시 해운대구 우동
8243,정글드럼교습소,경기도 시흥시 정왕동
8317,화목난로 박물관,전라북도 전주시 덕진구 반월동
