store_no,store_nm,addr
9897,에스키모기타교습소,경상남도 김해시 외동
10037,블랙문,충청북도 음성군 금왕읍 무극리
10109,카페아이엠티 광화문점,서울특별시 종로구 신문로1가
10121,주식회사 에스에이치앤엠,서울특별시 동작구 상도동
10125,전곡리어촌계푸드,경기도 화성시 서신면 전곡리
10228,대성 사무용가구,충청남도 천안시 동남구 목천읍 응원리
10284,전라도회조개구이,인천광역시 중구 을왕동
10289,엠2(M2)모텔,부산광역시 부산진구 부전동
10380,(주)에스앤푸드,경기도 하남시 상산곡동
10417,해풍드럼아카데미교습소,경상북도 영덕군 강구면 오포리
10460,봉구스밥버거 나주혁신점,전라남도 나주시 빛가람동
10527,셀렉토보국문로점,서울특별시 성북구 정릉동
10669,셀파우등생능률주니어랩학원,울산광역시 남구 야음동
10830,꽃날스튜디오,경기도 부천시 소사본동
10844,오티비 딜리버리 권선점,경기도 수원시 권선구 권선동
10929,핏어펫(pit-a-pat),서울특별시 금천구 시흥동
10952,속초고깃집,강원도 속초시 동명동
11023,코요,부산광역시 기장군 일광면 삼성리
11043,휴즈 스티커,서울특별시 동대문구 용두동
11153,배곧 막스시오,경기도 시흥시 정왕동
11265,배산태백칼국수,전라북도 익산시 모현동2가
11282,단골참치 군포직영점,경기도 군포시 당동
11406,고덕프린텍,충청남도 예산군 고덕면 대천리
11566,그린인테리어(주),경기도 안양시 동안구 호계동
11909,(주)칸투칸 대전유성점,대전광역시 유성구 봉명동
11961,솔빌리지,경기도 양평군 옥천면 용천리
11988,공룡빙수와비어,인천광역시 남동구 간석동
12056,순서비's푸드,경기도 시흥시 신천동
12069,참농자재,충청남도 부여군 석성면 증산리
12091,미몽직화구이,경기도 하남시 풍산동
12152,오늘부엌반찬,강원도 원주시 명륜동
12173,제이케이 필라테스,부산광역시 수영구 민락동
12221,새춘천용달이사,강원도 춘천시 석사동
12290,주식회사대우루컴즈모란역점,경기도 성남시 중원구 성남동
12309,워시큐 창우점,경기도 하남시 창우동
12416,백종원 축구 레시피,경기도 성남시 수정구 고등동
12582,네리야 타이마트,경상북도 문경시 점촌동
12802,행복음료수,대구광역시 중구 대신동
12806,정숙포차,전라북도 전주시 완산구 평화동1가
12856,엠베스트킴스학원,대전광역시 중구 목동
12888,홍대in파스타,서울특별시 마포구 서교동
13026,별미냉면국수,인천광역시 부평구 갈산동
13069,비욘드더플랜,부산광역시 해운대구 중동
13074,스카이롤러파크(주),부산광역시 기장군 정관읍 매학리
13085,바다가분다,경상남도 사천시 동금동
13131,노은7080,대전광역시 유성구 지족동
13201,프롬민,대전광역시 서구 괴정동
13206,자담치킨순천금당점,전라남도 순천시 해룡면 상삼리
13309,차이홍옛날통닭,서울특별시 영등포구 문래동4가
13429,블랙 커스텀 로스터리,경기도 연천군 연천읍
13658,현대오일뱅크(주)직영 중앙대로주유소,부산광역시 금정구 부곡동
13660,엄마시락국,울산광역시 남구 달동
13760,에스엠건설,경상남도 창원시 의창구 북면 신촌리
13831,신묘한사주타로,서울특별시 동작구 사당동
14123,라파즈,전라남도 담양군 담양읍 학동리
14177,지에스(GS)25 부산금융센터점,부산광역시 남구 문현동
14198,노브랜드버거 신촌점,서울특별시 서대문구 창천동
14206,네일당,대전광역시 서구 관저동
14260,방울방울,경기도 부천시 심곡동
14363,꼼지락공예학원,경상남도 창원시 진해구 자은동
14438,라고마잼카페,충청남도 공주시 반죽동
14493,비허밍스터디카페북항2호점,전라남도 목포시 산정동
14529,돈벼락돼지국밥,경상남도 양산시 신기동
14763,호남로52,전라남도 목포시 창평동
14767,쿠션크러쉬,충청남도 당진시 송산면 유곡리
15006,동네방네산격점,대구광역시 북구 산격동
15076,이마트24 항동하버라인점,서울특별시 구로구 항동
15095,씨유(CU)망포벽산점,경기도 수원시 영통구 망포동
15224,더블제이,인천광역시 서구 가좌동
15255,에그라상(Eggroissant),부산광역시 동래구 명장동
15266,랭핏영어학원,경상남도 김해시 삼계동
15355,한일종합정비,부산광역시 사하구 신평동
15371,신흥젓갈,경상북도 문경시 흥덕동
15499,킹마니치킨앤찜닭,전라북도 전주시 덕진구 송천동1가
15570,가포갈비,경상남도 창원시 마산합포구 가포동
15756,약술터,충청북도 충주시 칠금동
15804,한수플라워,충청남도 홍성군 금마면 신곡리
15870,머무르다BY사라,충청남도 당진시 읍내동
15928,딸기네집케이크,전라남도 무안군 삼향읍 남악리
15984,댕그라운드,충청북도 청주시 청원구 내수읍 원통리
16023,마마미장,충청남도 천안시 서북구 성거읍 천흥리
16090,특공대심부름,부산광역시 해운대구 재송동
16112,심리상담원예치료센터 숲,경상북도 포항시 북구 창포동
16190,(주)동해레이져,경기도 화성시 마도면 송정리
16191,빛가온북,경기도 광명시 일직동
16240,생생식품,경기도 평택시 통복동
16313,그래그래피자떡뽁이,대구광역시 달성군 옥포읍 강림리
16338,순수 마카롱and스콘,인천광역시 부평구 부평동
16369,프레임빌더스,서울특별시 서대문구 연희동
16450,권'S 인테리어,전라남도 목포시 산정동
16936,서울중앙치과의원,경기도 오산시 오산동
16960,유명족발,경기도 용인시 기흥구 구갈동
16988,마마스홈,경기도 동두천시 송내동
17188,유니스 (EUNICE),서울특별시 관악구 봉천동
17232,지에스(GS)25 삼락공단점(상품권),부산광역시 사상구 삼락동
17321,왕멍 (SNOW WING),경상북도 영천시 임고면 수성리
17403,지에스25포항상대점,경상북도 포항시 남구 대도동
17439,일레븐헤어,서울특별시 송파구 문정동
17652,와와아이스크림 7호점,강원도 춘천시
17767,멕시칸라이브그릴(광주북구점),광주광역시 북구 삼각동
17802,써브웨이 분당수내점,경기도 성남시 분당구 수내동
17848,궁중빈대떡,서울특별시 송파구 풍납동
17904,배수웅과외교습,부산광역시 사하구 괴정동
17949,러브엔젤,경상남도 양산시 동면 석산리
18154,주식회사 금강푸드,경기도 안산시 단원구 원시동
18270,쁘리마베라,경상남도 진주시 평안동
18290,트라벨로,경상남도 양산시 하북면 초산리
18468,오케이인테리어철물점,서울특별시 도봉구 방학동
18567,DK MOTERS,경상남도 창원시 진해구 남양동
18631,헬로벨디에치통신,서울특별시 송파구 마천동
18723,동구LG에어컨설치점,경상북도 경산시 계양동
18770,처리부엌,부산광역시 부산진구 전포동
18887,노리(NORI),강원도 홍천군 내촌면 와야리
18912,큰손족발,충청북도 청주시 흥덕구 복대동
18926,브라이트 스타(송파점),서울특별시 송파구 가락동
18985,세븐일레븐 영종오션솔레뷰점,인천광역시 중구 중산동
18991,맘정,부산광역시 사상구 덕포동
19117,현대오일뱅크(주) 직영성현주유소,광주광역시 광산구 오선동
19135,파라(PARA),경기도 성남시 수정구 수진동
19217,카페 리치,경기도 양평군 서종면 도장리
19219,주식회사 여리한다이어트 부산서면점,부산광역시 부산진구 부전동
19438,한라,서울특별시 구로구 오류동
19447,포근컴퍼니(PogeunCompany),경기도 수원시 권선구 입북동
19513,다원찻집,전라남도 여수시 서교동
19614,오름약국,제주특별자치도 서귀포시 서귀동
19743,오피스마켓코리아,서울특별시 강동구 성내동
19908,역곡큰약국,경기도 부천시 괴안동
19921,양보초등학교,경상남도 하동군 양보면 운암리
20128,에프씨라이프 (주),경기도 남양주시 진접읍 장현리
20171,내고향염소탕,충청남도 부여군 은산면 신대리
20402,디하우스인테리어 남구점,울산광역시 남구 신정동
20503,이지피지(easy peasy),경상북도 구미시 원평동
20678,얼음왕국아이스크림할인점 화성97호점,경기도 화성시 새솔동
20703,델리퀸 원주기업도시점,강원도 원주시 지정면 가곡리
21086,서곡정미소,강원도 원주시 판부면 서곡리
21133,녹색코너,서울특별시 강남구 개포동
21215,미세스 영,경기도 수원시 권선구 권선동
21262,카페747(cafe747),경기도 화성시 장안면 사곡리
21272,야사시이,대구광역시 수성구 범어동
21339,애슐리퀸즈NC서면점,부산광역시 부산진구 전포동
21351,티파니(Tiffany),서울특별시 마포구 공덕동
21377,강스시천안두정점,충청남도 천안시 서북구 두정동
21442,김해출장스팀세차,경상남도 김해시 외동
21511,위니아중부산(안우진),부산광역시 부산진구 전포동
21543,크라운호프 대전오류점,대전광역시 중구 오류동
21581,그앞,부산광역시 수영구 수영동
21593,빅토기획,인천광역시 서구 마전동
21791,이쁜걸토탈패션,충청북도 음성군 맹동면 동성리
21833,정수산 세종점,세종특별자치시 나성동
21897,양양식자재마트,강원도 양양군 양양읍 서문리
21977,채영커피숍,인천광역시 부평구 갈산동
22146,한마음미용,부산광역시 수영구 광안동
22487,주식회사 와이지피,경기도 화성시 진안동
22638,산요수 꽃벵이 농장,경기도 양평군 단월면 산음리
22693,수학의달인한라점수학교습소,경기도 남양주시 호평동
22725,한국맥도날드(유) 용인수지점,경기도 용인시 수지구 풍덕천동
22766,다산카오디오,경기도 남양주시 진접읍 연평리
22789,곤트란쉐리에 일산차병원점,경기도 고양시 일산동구 장항동
22877,에이제이건강생활관,서울특별시 관악구 봉천동
22976,끼 노래연습장,경기도 광주시 경안동
23079,포이보스윈도우패션,경기도 용인시 기흥구 서천동
23125,송사장 쥬얼리,부산광역시 서구 서대신동3가
23157,(주)리북방,서울특별시 마포구 서교동
23216,강남교자 롯데피트인산본점,경기도 군포시 산본동
23228,메카 골드 스퀘어,부산광역시 중구 중앙동7가
23236,신서귀포주짓수,제주특별자치도 서귀포시 법환동
23295,가마치통닭(용인양지점),경기도 용인시 처인구 양지면 양지리
23397,동아맛집,인천광역시 남동구 구월동
23555,와우양고치달동2호점,울산광역시 남구 달동
23576,오에이샵,대구광역시 북구 동천동
23612,릴렉스코리아 광복점,부산광역시 중구 광복동2가
23656,주식회사 파인유통,서울특별시 강서구 마곡동
23715,옛날통닭 (김하민),경기도 시흥시 정왕동
23726,생활명상센터,서울특별시 강북구 수유동
23865,김엔면,세종특별자치시 어진동
