store_no,store_nm,addr
312,풍경이그려지는집,인천광역시 강화군 삼산면
442,미사고봉손칼국수 천호점,서울특별시 강동구 천호2동
480,맘에들어황금마차,경기도 안성시 대덕면
738,하나비투비,경기도 하남시 초이동
765,사마패,울산광역시 남구 달동
932,터게더(Together)샤인머스켓,전라남도 강진군 성전면
963,이유있는날,전라북도 전주시 덕진구 인후동1가
968,수미愛찬,광주광역시 남구 송암동
1144,대림상사 주식회사,광주광역시 남구 송암동
1218,경기통상,대전광역시 유성구 온천2동
1348,리뉴스킨,강원도 춘천시 동면
1431,동경규동 굽은다리역점,서울특별시 강동구 천호1동
1438,나린피아노교습소,충청남도 천안시 동남구 봉명동
1473,포커스온바디 필라테스,서울특별시 마포구 망원2동
1537,투에이치리테일 보문,서울특별시 성북구 보문동
1729,바쏘옴므 아이즈빌점,인천광역시 부평구 청천1동
1749,엠케이 미용재료,인천광역시 계양구 작전2동
1870,광교에듀타운점 또봉이통닭,경기도 수원시 영통구 이의동
1914,오르셀컴퍼니,경기도 고양시 일산동구 중산동
2006,피스톤 잇올 스파르타 관리형프리미엄 체대입시,서울특별시 강남구 청담동
2021,코리아 중고,충청북도 옥천군 청산면
2191,웰치 본사특판점,전라북도 전주시 완산구 효자동2가
2205,맛있는 꼬마김밥,전라남도 순천시 왕조1동
2349,주식회사신넥앤테크,대전광역시 유성구 전민동
2541,청담하이퍼에듀,경기도 하남시 덕풍3동
2661,통키통키 후라이드,부산광역시 중구 동광동
2735,피움꽃집,경상남도 진주시 초장동
2740,고득점영어수학학원,대구광역시 동구 안심3.4동
2849,코바짐and박박스,경기도 군포시 군포2동
2851,대구차바닥,대구광역시 수성구 만촌1동
2873,란들렌,충청남도 천안시 동남구 오룡동
2884,(주)로드테크,경기도 시흥시 과림동
2937,골프존파크죽전허브스크린,경기도 용인시 수지구 죽전동
3093,소리쳐 영상제작실,전라북도 익산시 동산동
3141,거진상회,강원도 고성군 거진읍
3218,포우즈(Pause),경기도 용인시
3404,김미화,전라북도 전주시 완산구 효자동3가
3424,세종큰약국,세종특별자치시 도담동
3507,더써드라운지,서울특별시 은평구 갈현1동
3607,맨즈케어,서울특별시 마포구 서교동
3662,아이쿱(iCOOP)자연드림 한의원(대전),대전광역시 서구 탄방동
3699,티큐에스,서울특별시 강남구 대치4동
3727,달콤한인생,경기도 화성시 동탄3동
3733,동네껍데기(민락점),경기도 의정부시 송산3동
3796,공만치킨,경기도 화성시 새솔동
3824,피부스토리,전라남도 여수시 쌍봉동
3855,나룻터농수산물,인천광역시 강화군 내가면
3932,락필드 빌리어드 클럽,강원도 정선군 정선읍
4020,1944 트레이닝 스튜디오,경상북도 김천시 율곡동
4126,순환한의원,서울특별시 동대문구 제기동
4174,지에스25 광진현대점(상품권),서울특별시 광진구 자양3동
4241,크앙분식 을지로아크앤북점,서울특별시 중구 명동
4384,신진성아구찜,충청남도 천안시 서북구 성정동
4603,종암 정육점,서울특별시 성북구 종암동
4605,(FandB)플라워,강원도 정선군 남면
4695,세종주야간보호센터,세종특별자치시 조치원읍
4716,정연준,서울특별시 강동구 천호1동
4737,삼보자판기,경기도 평택시 진위면
4798,주식회사 신세계,경기도 시흥시 대야동
5124,말발굽,경기도 용인시 기흥구 신갈동
5227,가구의 세계,경기도 안양시 만안구 박달동
5246,세무법인다우고양파주지점,경기도 파주시 금촌2동
5313,허니마사지,서울특별시 관악구 신림동
5368,오르미공방,제주특별자치도 서귀포시 중앙동
5378,디에스티주식회사(DST),경기도 화성시 동탄5동
5393,아주렉카특송,경상북도 영주시 상망동
5394,오코아가구,전라북도 전주시 덕진구 팔복동3가
5669,족발의장인족장(양산점),경상남도 양산시 물금읍
5781,유니우케이크,충청남도 천안시 서북구 차암동
6175,라베이크(북수원점),경기도 수원시 장안구 송죽동
6282,지에스(GS)25 여수화산점,전라남도 여수시 여천동
6396,모아로한의원,서울특별시 중랑구 망우본동
6411,매종제이,서울특별시 종로구 평창동
6509,오쩜이엔,충청남도 천안시 서북구 성환읍 성환리
6521,3월29일,경기도 시흥시 배곧동
6655,일동모바일,울산광역시 북구 농소2동
6869,한손탕후루,전라북도 전주시 완산구 전동3가
7008,어썸바,서울특별시 동대문구 장안2동
7145,무지개맥주 포항원동점,경상북도 포항시 남구 오천읍 원리
7150,최쌤영어교실,경상남도 양산시 평산동
7152,피자파는집안산사동점,경기도 안산시 상록구 사동
7231,올레KT CCTV 전남동부지점,전라남도 순천시 덕연동
7629,디스타 중마점,전라남도 광양시 중마동
7690,지에스25 가좌시티뷰점,인천광역시 서구 가좌3동
7709,풀왓,제주특별자치도 제주시 조천읍
7757,갬성마켓,충청북도 청주시 흥덕구 가경동
7804,퍼덕퍼덕,대전광역시 서구 갈마1동
7841,도배창고(J-인테리어),인천광역시 부평구 삼산1동
7886,카페봄봄 법원점,경상남도 진주시 평거동
7922,더불어 사는 자본주의,경기도 용인시 수지구 신봉동
7946,민쇼룸,광주광역시 북구 두암3동
8007,딴따PC,경기도 구리시 수택2동
8012,천냥스포츠백화점,전라북도 고창군 고창읍
8047,우리동네 수선집,서울특별시 양천구 신정2동
8189,프랑스 3층 (PRANCE),서울특별시 강남구 압구정동
8235,평창동가든 조경공사,서울특별시 종로구 부암동
8515,라루체네일(Laluce 네일),경기도 평택시 원평동
8534,라온테크,서울특별시 구로구 구로2동
8580,수비드명가,서울특별시 관악구 청룡동
8683,한국카드포스,경상북도 상주시 동문동
8733,림스치킨 성내점,서울특별시 강동구 성내1동
8810,60계 부산구서점,부산광역시 금정구 구서1동
8828,엄송치킨,광주광역시 서구 상무2동
8953,이차돌 김해주촌점,경상남도 김해시 주촌면
8992,엔틱장식소품,경기도 남양주시 화도읍
9019,뿌리깊은국어2관학원,인천광역시 연수구 송도2동
9046,사직아시아드점텐퍼센트,부산광역시 연제구 거제2동
9110,중앙건강의료기,전라북도 전주시 완산구 서노송동
9164,벙커제이 (Bunker.J),경기도 김포시 구래동
9202,펍온트립,강원도 원주시 반곡관설동
9399,난공불락스파르타(강북),서울특별시 강북구 번1동
9634,춘풍국밥,서울특별시 마포구 서교동
9827,데 올로르(de olor),경상남도 창원시 성산구 대방동
9877,언니네필라테스,부산광역시 부산진구 전포1동
9899,(TOP)퀵(송탄탑),경기도 평택시 서정동
9952,씨유(CU)들안점,대구광역시 수성구 두산동
10030,베이비 인걸,경상남도 창원시 마산합포구 자산동
10074,오월,서울특별시 중랑구 신내1동
10158,중앙태권도장,경기도 광주시 오포읍
10176,다엘교육,전라북도 전주시 덕진구 인후동1가
10181,하이이유,경기도 성남시 분당구 서현동
10232,오성리테일,경기도 동두천시 불현동
10259,주식회사 용인태성FCU15,경기도 용인시 처인구 남동
10268,소림마라 해운대점,부산광역시 해운대구 좌2동
10530,현성프린팅,서울특별시 영등포구 문래동
10620,자담치킨 부안점,전라북도 부안군 부안읍
10630,김앤김골프연습장,부산광역시 북구 만덕3동
10693,아마레 살롱(AMARE SALON),인천광역시 연수구 송도2동
10807,더(THE)예쁜머리,서울특별시 강동구 천호3동
10896,키다리영어도서관,전라북도 익산시 평화동
11037,불스떡볶이 금당점,전라남도 순천시 왕조2동
11058,요거프레소 두정중앙점,충청남도 천안시 서북구 두정동
11220,이플,제주특별자치도 서귀포시 대정읍
11270,산아래카페,인천광역시 강화군 불은면
11381,동신식품장,경기도 수원시 팔달구 영동
11447,글라스안경 강남세곡점,서울특별시 강남구 세곡동
11461,주식회사 비와이바스,인천광역시 계양구 작전2동
11466,제이매쓰 수학교습소,부산광역시 연제구 연산2동
11506,로맨틱케이크,경기도 고양시 일산서구 대화동
11730,영덕지인농원,경상북도 영덕군 영덕읍
11827,따순둥,경기도 구리시 갈매동
11844,코나송산,경기도 화성시
12113,네오텍코리아,대구광역시 달성군 현풍읍
12339,여수수제과자점,전라남도 여수시 서강동
12387,매일애드커뮤니케이션,경상북도 안동시 태화동
12390,정가칼국수,경상북도 구미시 산동면
12410,세컨하우스(Second House),서울특별시 중구 청구동
12425,챌린저모바일,경상북도 구미시 인동동
12505,팀앤메리,서울특별시 중구 필동
12568,세븐스플로어,인천광역시 부평구 부평1동
12644,주식회사 두광산업,경기도 가평군 상면
12697,쪽찌 안성공도점,경기도 안성시 공도읍
12699,멘토뮤직,서울특별시 구로구 오류1동
12789,김포 스프링스파 사우나 이발소,경기도 김포시 양촌읍
