store_no,store_nm,addr
11005,피자 이딸리아나,서울특별시 강서구 내발산동
11239,지에스(GS)25 산동센터점,충청남도 아산시 음봉면 산동리
11284,더 영(THE YOUNG),경상남도 함안군 가야읍 말산리
11291,씨유(CU)홍천시동점,강원도 홍천군 남면 시동리
11387,디자인서기,경상남도 남해군 남면 당항리
11395,소쿠리한상,인천광역시 부평구 부평동
11542,얼음왕국도봉149호점,서울특별시 도봉구 쌍문동
11606,청주 곰팡이일,충청북도 청주시 서원구 분평동
11674,장인의상차림,서울특별시 관악구 봉천동
11922,(주)해림환경개발,경상북도 경산시 남천면 하도리
12044,비 비어,서울특별시 강동구 길동
12190,청룡배터리,세종특별자치시 소정면 운당리
12224,씨유(CU)용인동백중앙점,경기도 용인시 기흥구 중동
12492,주식회사 도서출판이루다,서울특별시 강남구 역삼동
12525,잉크나라,충청북도 청주시 상당구 금천동
12587,호치킨 괴안점,경기도 부천시 괴안동
12609,슈올즈 송천점,전라북도 전주시 덕진구 송천동1가
12666,다비치(Davichi),경상남도 진주시 대안동
12692,정중앙 시네마,강원도 양구군 양구읍 상리
13155,초강국악기,충청북도 영동군 심천면 초강리
13179,부여궁,경상남도 밀양시 삼랑진읍 송지리
13207,글로벌 이엔지,전라북도 남원시 도통동
13244,매일토스트랑 미니김밥,인천광역시 미추홀구 주안동
13296,세븐일레븐 수지엘지빌리지점,경기도 용인시 수지구 성복동
13426,송건식품,강원도 평창군 봉평면 유포리
13643,지에스25(GS25) 광주궁평점,경기도 광주시 도척면 궁평리
13656,오징어횟집,충청북도 청주시 흥덕구 복대동
13720,커피사자,경상남도 거제시 상동동
13759,GS25일산스타점,경기도 고양시 일산동구 식사동
13882,인토스터디카페 신대점,전라남도 순천시 해룡면 신대리
13951,윤끼(Yunkki),서울특별시 서대문구 대현동
13977,(유)서광산업,전라북도 익산시 황등면 황등리
14098,히키티키,충청북도 청주시 서원구 모충동
14102,한별철강(주),인천광역시 계양구 계산동
14292,데이 원(Day1),서울특별시 서대문구 창천동
14318,동원씽크산업,충청북도 청주시 서원구 남이면 수대리
14322,진이찬방 양산물금점,경상남도 양산시 물금읍 가촌리
14402,옥순봉 정육식당,충청북도 제천시 수산면 수산리
14486,오휘판교점,경기도 성남시 분당구 삼평동
14522,솜씨네,대전광역시 대덕구 비래동
14908,비케이(BK)상사,서울특별시 구로구 개봉동
15118,통큰엄마,서울특별시 송파구 삼전동
15119,주식회사티지텔코리아,경기도 부천시 춘의동
15125,파란인터내셔날테크놀로지,서울특별시 송파구 문정동
15179,주식회사천우,인천광역시 서구 오류동
15277,방구족발,경상남도 창원시 마산회원구 내서읍 호계리
15368,곁드림,충청북도 청주시 상당구 운동동
15444,소소떡볶이 제천점,충청북도 제천시 영천동
15706,더호텔 7th,부산광역시 부산진구 범천동
15785,오니 PC CAFE,경기도 평택시 지산동
15933,씨유(CU) 하복대원룸점,충청북도 청주시 흥덕구 복대동
15942,세돌이네상하이짜장3900,경기도 남양주시 화도읍 마석우리
16147,목치고판화공방,서울특별시 중랑구 면목동
16209,김밥에반하다,경상남도 창원시 의창구 팔용동
16217,세븐일레븐 수원화홍병원점,경기도 수원시 권선구 호매실동
16479,탑서비스,충청남도 아산시 배방읍 북수리
16501,아름다운 미(美) 테라피,전라남도 보성군 벌교읍 회정리
16602,어서와 중고는 처음이지,대전광역시 서구 괴정동
16636,통불 세종나성동점,세종특별자치시 나성동
16668,마마꽈배기앤도너츠 (동탄역점),경기도 화성시 청계동
16791,이마트24 R궁평항점,경기도 화성시 서신면 궁평리
16906,솔내음가득히,울산광역시 북구 어물동
17079,바로푸드,인천광역시 남동구 서창동
17207,고양시립문촌9사회복지관어린이집,경기도 고양시 일산서구 주엽동
17269,이아이이학원,서울특별시 광진구 중곡동
17288,무브업,서울특별시 마포구
17470,주식회사 블랙홀,경기도 화성시 마도면
18201,주식회사 엠오그린,광주광역시 북구 대촌동
18376,요리하는 남자,서울특별시 금천구 시흥동
18403,화신패션,대전광역시 중구 문창동
18437,지에스(GS)25 대구혁신LH점,대구광역시 동구 각산동
18603,더달달 힐캐슬점,인천광역시 남동구 구월동
18651,주식회사에스엠디피,경상북도 구미시 비산동
18743,(주)디아이통상,부산광역시 강서구 대저1동
18781,땅스부대찌개 창원팔용점,경상남도 창원시 의창구 팔용동
18851,헤이미 (heyme),인천광역시 남동구 구월동
19044,스튜디오 원 (Studio WON),경기도 의정부시 의정부동
19154,카드스퀘어,서울특별시 중구 신당동
19245,미드라인성형외과의원,서울특별시 강남구 역삼동
19392,(주)필립섬유,서울특별시 종로구 종로5가
19426,하이 실리아,인천광역시 연수구
19470,이미지다빈치미술학원,대전광역시 유성구 전민동
19497,본프린팅,경기도 김포시 장기동
19511,셰프 작업소,경기도 성남시 중원구 성남동
19532,오향집,부산광역시 동래구 사직동
19557,(주)매드마르스,서울특별시 마포구 상수동
19727,별난동네슈퍼25,인천광역시 부평구 부평동
19787,도기버스(DOGGY BUS),경기도 의정부시 의정부동
20042,살롱 드 꽃떼,경상남도 김해시 율하동
20269,주식회사 파주현대상용서비스,경기도 파주시 월롱면 위전리
20473,헬로건어물 대전서구점,대전광역시 서구 갈마동
20492,썬더치킨 진주혁신점,경상남도 진주시 충무공동
20634,미래 양복점,서울특별시 영등포구 양평동1가
21069,맛있구마,서울특별시 강남구 삼성동
21089,비비가,대구광역시 달성군 옥포읍 반송리
21092,TG글로벌,경기도 여주시 홍문동
21199,천미가 마라탕,경기도 용인시 처인구 남사면 아곡리
21255,도매폰직영점,서울특별시 강서구 마곡동
21357,아테나하남점,경기도 하남시 망월동
21424,조방떡볶이,부산광역시 동구 범일동
21496,혼다거제바이크진,경상남도 거제시 장평동
21512,금산인삼 수삼랜드 155호,충청남도 금산군 금산읍 중도리
21656,(주)청림전기,경상북도 포항시 남구 청림동
21728,삼성전자서비스(주)모바일강서센터,서울특별시 강서구 염창동
21905,속초골뱅이,경기도 안산시 단원구 고잔동
22106,슬램커피,세종특별자치시 보람동
22131,땅스부대찌개금호점,서울특별시 성동구 금호동3가
22369,노브랜드(no brand)NB치킨,경상남도 김해시 내동
22406,디포이레포츠 (Dipoi Leports),서울특별시 구로구 개봉동
22602,유웰니스연구센터,제주특별자치도 제주시 연동
22678,신기한우관,경상남도 양산시 신기동
22742,폰케어존,서울특별시 중랑구 중화동
22876,한사랑자수,대전광역시 서구 내동
23037,하이업 에듀,경기도 부천시 상동
23044,오케이푸드(OK푸드),전라북도 익산시 부송동
23109,브라이트스타 동탄점,경기도 화성시 반송동
23459,씨윈드,경상북도 경주시 구정동
23543,믿음서울치과의원,경상북도 영덕군 영해면 성내리
23572,갤럭시아_상품권_2,서울특별시 강남구 수서동
23602,설농옥하귀점,제주특별자치도 제주시 애월읍 하귀1리
23658,리츠어린이집,충청북도 진천군 덕산읍
23659,잠실성모의원,서울특별시 송파구 삼전동
24108,명성농산,경기도 포천시 영북면 운천리
24476,주식회사 스포벡휘트니스,서울특별시 동대문구 회기동
24544,안심치킨 시흥정왕3동점,경기도 시흥시 정왕동
24765,나우커피 명지행복마을점,부산광역시 강서구 명지동
24819,농업회사법인 미래로 주식회사,경기도 파주시 조리읍 능안리
24840,방문미술 아이지미술 아산1호지사,충청남도 천안시 서북구 쌍용동
24885,김포 풍무 신경외과의원,경기도 김포시 풍무동
24944,반달커피 안양덕천점,경기도 안양시 만안구 안양동
25167,백송이 전문점(광명점),경기도 광명시 철산동
25201,케이티아이,경기도 광주시 오포읍 능평리
25229,플로라빈,강원도 원주시 개운동
25400,꽃단하나,전라북도 전주시
25631,리더스 텔레콤,인천광역시 중구 인현동
25671,홍시사랑 오디이야기,전라북도 정읍시 덕천면 상학리
25738,세종웰김치,세종특별자치시 장군면 도계리
25778,놀뫼행복팜,충청남도 논산시 가야곡면 강청리
25792,김민선(아소비 인천오류신동아점),인천광역시 계양구 오류동
26059,크린빌 세탁,부산광역시 해운대구
26070,한국E클린시스템,부산광역시 연제구 연산동
26112,브릿지오브다라자,강원도 강릉시 구정면 구정리
26185,N간편결제충전_2,서울특별시 강남구 삼성동
26194,동행로또,경상남도 진주시 문산읍 소문리
26271,니키 필라테스,광주광역시 북구 신용동
26397,가양누리약국,서울특별시 강서구 가양동
26398,비비큐(BBQ)문흥중앙점,광주광역시 북구 문흥동
26474,김복남맥주 부평산곡점,인천광역시 부평구 산곡동
26738,와이로스팅프로젝트,경기도 부천시 옥길동
26945,유한회사비알케이,광주광역시 광산구 쌍암동
27127,가죽공방 레더케이,경기도 성남시 분당구 정자동
27512,송지호 모네블루 주식회사,강원도 고성군 죽왕면 오호리
27568,다므기 인테리어,서울특별시 구로구 신도림동
27724,한성자동차부품,경기도 양주시 봉양동
27748,에이치디렌탈(HD렌탈),부산광역시 강서구 죽림동
27750,대왕설렁탕,강원도 삼척시 원덕읍 호산리
27789,단무지폰,서울특별시 노원구 상계동
27883,자담치킨 정읍상동점,전라북도 정읍시 상동
27885,더마시따야식 용암분평점,충청북도 청주시 상당구 용암동
28200,사)대한불교 천무종 천궁사,대구광역시 수성구 상동
28214,밥앤도시락,부산광역시 사하구 감천동
28242,메가엠지씨커피광주화정중앙점,광주광역시 서구 화정동
28267,창원자연숲 어린이집,경상남도 창원시 의창구 북면 외감리
28523,씨비엠테크,서울특별시 성동구 성수동1가
28807,대사랑운수대통밥,전라남도 담양군 담양읍 객사리
28949,웨스트가든,서울특별시 강남구 신사동
29056,필라테스보담,서울특별시 영등포구 여의도동
29063,미니스톱 두암우리점,광주광역시 북구 두암동
29091,네일 이끌림,인천광역시 연수구
29263,구슬함박,경기도 화성시 능동
29328,칭기스칸 노래연습장,충청북도 청주시 서원구 사창동
29543,푸른별찌,경기도 성남시 분당구 정자동
29842,코다리닭,서울특별시 광진구 군자동
29912,디디의하루 and near,충청북도 청주시 청원구 우암동
29913,(주)고려생활건강,서울특별시 구로구 구로동
30096,엘엔알코리아,서울특별시 강남구 삼성동
30196,황후노래방,경기도 부천시 역곡동
30200,운문산 식육점,경상북도 청도군 화양읍 범곡리
30237,플로르에스텔(별의꽃),경기도 화성시 병점동
30429,이마트24 청주우암그린점,충청북도 청주시 청원구 우암동
30591,다함(권선동),경기도 수원시 권선구 권선동
30617,춘자씨누룽지닭백숙&정쉐프코다리찜,경기도 남양주시 별내동
30788,까리따스간병인회유료직업소개소,대구광역시 남구 대명동
30793,추억의막걸리한잔,전라북도 남원시 하정동
30937,길동우동 부천옥길점,경기도 부천시 옥길동
30965,더예쁨skinandbody,경기도 수원시 장안구 조원동
31096,자담치킨 송파헬리오시티점,서울특별시 송파구 가락동
31375,마라순코우 마라탕,경기도 용인시 기흥구 구갈동
31581,제이진옴므 공덕점,서울특별시 마포구
31630,정읍愛태추단감연구회,전라북도 정읍시 고부면 만수리
31636,이런날엔,인천광역시 서구 청라동
31673,엄지자동차,경기도 평택시 팽성읍 송화리
31716,고려불교인산가,경기도 성남시 수정구 태평동
31757,스타일사인,경기도 성남시 중원구 은행동
31903,지에스(GS)25 광양LF점,전라남도 광양시 광양읍 덕례리
32112,세무법인대명 남대구지사,대구광역시 달서구 대곡동
32190,임창정의 대단한갈비 청라점,인천광역시 서구 청라동
32337,네오피자-정왕점,경기도 시흥시 정왕동
32575,우리동네 무인 스터디카페,서울특별시 성동구 옥수동
32614,유한우지곡 소머리국밥,충청남도 서산시 지곡면 화천리
32637,지에스25(GS25) 세종아름점(상품권),세종특별자치시 아름동
32731,컵오브커피(장항동점),경기도 고양시 일산동구 장항동
32778,방화베스트해법영어교습소,서울특별시 강서구 방화동
33097,메밀면묵밥리,충청북도 충주시 앙성면 능암리
33144,전남밥상,경기도 고양시 일산동구 정발산동
33195,형제닭발&야시장,경기도 성남시 분당구 야탑동
33510,초록미소크리닝,경기도 광명시 소하동
33537,홍콩다방 광주봉선점,광주광역시 남구 봉선동
33759,봄식당,경기도 화성시 봉담읍 수기리
33890,다께야,경기도 성남시 분당구 서현동
34039,의료법인 중앙의료재단 중앙병원,제주특별자치도 제주시 이호이동
34148,봉구스밥버거 평촌한가람점,경기도 안양시 동안구 관양동
34211,쪽쪽국물닭발,강원도 원주시 판부면 서곡리
34301,유투성형외과의원,서울특별시 강남구 신사동
34422,제이앤씨교육(JnC Edu),서울특별시 양천구 신정동
34546,닥터골프센터 닥터휘트니스센터,경기도 여주시 가남읍 태평리
34624,새올컴퓨터,충청남도 예산군 예산읍 예산리
34652,크린업24 첨단점,광주광역시 광산구 쌍암동
34824,쌍둥이네,경기도 구리시 수택동
34857,사주명리,경기도 하남시 덕풍동
34974,민필름,서울특별시 영등포구 문래동5가
35027,수선전문점,경기도 고양시 일산서구 주엽동
35196,맛사랑,경기도 시흥시 하상동
35229,주식회사면역공방아이씨씨,서울특별시 강남구 청담동
35306,그믐족발 압구정로데오점,서울특별시 강남구 신사동
35429,장수보리밥,경상북도 영천시 야사동
35823,무지개맥주 부천약대점,경기도 부천시 약대동
35848,지에스(GS)25 울산서부점,울산광역시 동구 서부동
35891,다니엘 최,서울특별시 서초구 서초동
36031,새김나무,전라남도 순천시 오천동
36046,새한건축인테리어,전라북도 완주군 봉동읍 장기리
36107,진공열처리,대구광역시 북구 노원동3가
