store_no,store_nm,addr
15,율면건강원,경기도 이천시 율면 고당리
90,전희정 필라테스,인천광역시 중구 운북동
104,79대포 공주신관점,충청남도 공주시 신관동
265,유한회사 디에이치랩,전라북도 전주시 덕진구 만성동
331,아크미술학원,경상북도 포항시 북구 신흥동
637,초미세먼지해결시스템 착착 마산진해영업소,경상남도 창원시 마산회원구 구암동
668,청홍전,인천광역시 서구 청라동
771,더 스마일 홈케어,경상북도 구미시 송정동
774,까투리(용해점),전라남도 목포시 용해동
775,우리동네수학쌤,부산광역시 수영구 망미동
856,유진,경기도 시흥시 정왕동
930,해남여행사,전라남도 해남군 해남읍 수성리
943,크린토피아 의정부호원한승점,경기도 의정부시 호원동
1135,불량쭈꾸미,인천광역시 부평구 부평동
1279,제이(J) 피아노,경기도 김포시 운양동
1285,컴포즈커피 대전도안점,대전광역시 유성구 상대동
1327,문의에서,충청북도 청주시 상당구 문의면 미천리
1380,정아니의불타는여고24시떡볶이전농점,서울특별시 동대문구 전농동
1392,가인시니어케어빌,경기도 수원시 팔달구 화서동
1563,찐노래방,인천광역시 미추홀구 주안동
1593,남양대로주유소,경기도 화성시 남양읍 남양리
1639,꽃밭정이추어탕,전라북도 전주시 완산구 평화동1가
1657,나의반려,전라북도 익산시 영등동
1725,미니스톱 김해테크노점,경상남도 김해시 진례면 담안리
1769,동해막국수,인천광역시 중구 을왕동
1949,장보고 상회,경상남도 사천시 서동
2084,별,경기도 수원시 영통구 하동
2119,아이더 칠곡점,대구광역시 북구 태전동
2147,더정,부산광역시 부산진구 가야동
2157,237피자,울산광역시 울주군 범서읍 굴화리
2313,마라라,서울특별시 영등포구 여의도동
2364,와치킨,경기도 김포시 대곶면 석정리
2493,스마일투어(주),충청남도 아산시 온천동
2537,수학에 반하다 수학학원,부산광역시 부산진구 초읍동
2594,지에스(GS)25 덕천주공점,부산광역시 북구 덕천동
2755,에슬로우 목동1호점,서울특별시 양천구 목동
2843,미뜨레피자 이매점,경기도 성남시 분당구 이매동
2926,주식회사 엠제이산업개발,인천광역시 남동구 구월동
3087,우미경,서울특별시 동작구 대방동
3202,탈,광주광역시 서구 쌍촌동
3222,참치라이더청주가경점,충청북도 청주시 흥덕구 가경동
3532,세븐일레븐 영주가흥조선점,경상북도 영주시 가흥동
3572,연희네 꼬마김밥,강원도 화천군 사내면 사창리
3822,짱국수,인천광역시 계양구 계산동
3920,(유)이레산업,전라북도 군산시 오식도동
4386,OM 인디아,서울특별시 서초구 양재동
4508,지에스25 나주달무리(상품권),전라남도 나주시 대호동
4528,맛있는기름집,경기도 고양시 일산서구 가좌동
4555,짐 비바이포(Gym BX4),서울특별시 양천구 목동
4650,짬뽕살롱,경기도 광주시 오포읍 능평리
4670,오가게,서울특별시 강남구 역삼동
4683,지에스(GS)25 대방중앙점,서울특별시 동작구 대방동
4717,24시출장열쇠집도어락잠긴문번호키보조키,서울특별시 도봉구 방학동
4769,김밥매니아 부영점,전라남도 무안군 삼향읍 남악리
4790,주식회사 제이더블유청운,경기도 고양시 덕양구 주교동
4837,나이스가이 마곡나루역점,서울특별시 강서구 마곡동
4840,다하다,서울특별시 동작구 신대방동
4863,배달삼겹직구삼 왕십리점,서울특별시 성동구 하왕십리동
