STORE_NM,ADDR,UPJONG_DESC
하트찹쌀꽈배기,"경기 파주시  후곡로  50-0, 상가동 103호 (금촌동,후곡마을뜨란채 분산)",SEARCH_ADD

꼬꼬스토리별내신도시점,"경기 남양주시  별내5로5번길  5-0, 106호 (별내동,지앤지프라자)",매칭표_매핑

서남신시장상인회,"대구 달서구  달구벌대로329길  10-0, 주차장 (감삼동)",JHY_EDIT

4B 갤러리카페,"경북 상주시  남성4길  11-8, (남성동)",SEARCH_ADD

공간드림 스터디카페,"대전 유성구  지족로  283-0, 601호. 602호 (지족동)",JHY_EDIT

내당한우 별관,"충남 홍성군 홍성읍 문화로  146-0, 1층 (오관리)",매칭표_매핑

어린이철학교육연구소독서논술교습소,"대구 남구  봉덕초등길  41-0, 1층 (봉덕동)",SEARCH_ADD

쌈제육백반2호점,"인천 계양구  아나지로  332-0, 201동 1층 115호 (작전동,계양우림카이저팰리스)",한식_SUB

노가리앤비어 하귀점,"제주 제주시 애월읍 하귀9길  56-0, 1층 (하귀1리)",SEARCH_ADD

쏘잉프렌즈,"충남 서산시  한마음13로  45-0, (석림동)",매칭표_매핑

세남매떡볶이,"충북 청주시 상당구  영운천로203번길  5-0, 1층 (용정동)",SEARCH

지에스파크24(주)메가박스 성수점주차장,"서울 성동구  왕십리로  50-0, (성수동1가)",JHY_EDIT

이마트24 연세장례식장원주점,"강원 원주시  일산로  20-0, 1층 (일산동)",SEARCH

냠냠이반찬앤백반,"강원 원주시  원문로100번길  35-0, 1층 103호 (단계동,단계프라자)",한식_SUB

특히스터디카페,"인천 서구  보석로  42-0, 302호 (청라동,청명프라자1)",JHY_EDIT

민이네밥상,"울산 울주군 언양읍 웃방천4길  18-0, 1층 (서부리)",한식_SUB

유선희미용실,"서울 금천구  가산로  99-0, 상가동 115호 (가산동,두산위브아파트)",SEARCH

속초머구리활어수산,"강원 속초시  장사항해안길  58-0, 4호,5호,6호 (장사동)",JHY_EDIT

에이바우트커피용인죽전점,"경기 용인시 수지구  현암로  113-0, 지하1층 (죽전동,지성빌딩)",SEARCH

예능캐슬어린이집,"대구 달서구  월곡로26안길  17-7, (상안동)",SEARCH

백암진미식당,"경북 울진군 온정면 백암온천로  1279-0, (소태리)",한식_SUB

메종휘게,"경기 화성시 남양읍 역골중앙로100번길  15-0, 101호 (남양리)",매칭표_매핑

피닉스엔터테인먼트,"경기 평택시  매봉산4길  66-0, 205호 (비전동)",

(주)콜즈다이나믹스,"부산 남구  황령대로74번길  102-0, (문현동)",

만남커피숍,"경남 양산시  북안남3길  6-0, 1층 (북부동)",SEARCH

비티알(BTR 시흥점),서울 금천구 시흥동 883-15,매칭표_매핑

파스쿠찌,"서울 서초구  서초중앙로  4-0, 1층 (서초동)",FRAN

명품도시락,"강원 태백시  황지북3길  16-0, (황지동)",SEARCH

청춘식당,"경기 파주시 탄현면 엘씨디로241번길  47-9, 1층 102호 (금승리)",한식_SUB

주얼리아,"서울 종로구  종로  137-1, 501호 (종로3가,산호빌딩)",

미그린 스킨앤바디,"서울 광진구  면목로  165-0, 2층 (중곡동)",SEARCH

씨쓰리,"경북 문경시  중앙7길  20-0, 2층 (점촌동)",FRAN

또바기식당,"경북 성주군 성주읍 성주읍2길  25-6, 1층 (경산리)",한식_SUB

르하임스터디카페 대구월성점,"대구 달서구  조암로  39-0, 5층 503호504호 (월성동)",JHY_EDIT

블리스뷰티,"대전 서구  둔산중로  40-0, 230호 (둔산동,둔산더리치빌)",SEARCH

마인드숨,"경기 수원시 영통구  센트럴타운로  107-0, 204동 2-01호 (이의동,광교푸르지오 월드마크, 월드스퀘어)",

지(G)가휴게소식당,"경북 포항시 북구 기계면 기계로  392-0, (지가리)",한식_SUB

디오일렉트로닉스,"경북 영주시  창진로  63-0, 105동 510호 (가흥동,시영아파트)",SEARCH

까스맨 주안점,"인천 미추홀구  주안서로  57-0, B01호 (주안동,탑스퀘어)",매칭표_매핑

1089영어학원,"서울 양천구  목동서로  349-0, 제10층 1011호 1012호 (신정동,센트럴프라자)",SEARCH_ADD

그린라인 경기북부센터,"경기 고양시 덕양구  무원로6번길  61-0, 5층503-7 (행신동)",

코코호도,"경기 수원시 영통구  효원로  372-0, 1층 (매탄동)",FRAN

은혜횟집,강원 삼척시 교동 413-2번지 2/2,SEARCH

이슬,"강원 양양군 양양읍 남서길  9-0, 나동 302호 (남문리,85 남천연립)",

돼지곳간,"강원 강릉시 주문진읍 장성로  54-0, (교항리)",SEARCH_ADD

토즈스터디센터동소문독서실,"서울 성북구  동소문로  40-0, 외5필지  5층 일부 (동소문동3가)",JHY_EDIT

고혜정요가앤발레핏,"부산 강서구  명지오션시티8로6번길  34-0, (명지동)",SEARCH_ADD

엄마의마음,"부산 해운대구  해운대로  428-0, 1층 112호 (우동,동부올림픽타운)",매칭표_매핑

하우투메쓰,"서울 성동구  고산자로4길  34-0, 304동 1601호 (응봉동,응봉동리버그린동아아파트)",

강성함바,"서울 관악구  조원로6길  1-0, 3,4층 (신림동)",한식_SUB

에비뉴코리아,"인천 중구  하늘별빛로  86-0, 929동 3101호 (중산동,인천영종하늘도시한라비발디아파트)",매칭표_매핑

