store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
867739,이집으로,경기도 남양주시 오남읍 양지리,"제조업>침대,매트리스제조",,경기도 남양주시 화도읍 녹촌리 491-11,경기도 남양주시 화도읍 가구단지6길 19,336753,561356,,
867790,씨스페이스 일송휴게소점,충청남도 논산시 가야곡면 종연리,,,,,,,,
867797,살론드 슈슈,강원도 춘천시 퇴계동,,,,,,,,
867836,주식회사 위고,대전광역시 서구 탄방동,"미용>다이어트,비만",,경기도 용인시 수지구 죽전동 1190-5,경기도 용인시 수지구 현암로 164 신주프라자 2층,322890,525841,,http://leediet.com/
867874,팜스키친,대전광역시 대덕구 석봉동,,,,,,,,
867904,신사의 정육점,경기도 광주시 오포읍 신현리,,,,,,,,
867938,최인혁스크린골프,대구광역시 북구 연경동,반려동물>애견용품,,경기도 안성시 공도읍 진사리 354,경기도 안성시 공도읍 서동대로 3930-39,324297,488473,,
868042,카페조율,광주광역시 북구 용봉동,,,,,,,,
868084,진원매점식당,인천광역시 서구 가좌동,"음식점>카페,디저트",,경상남도 김해시 외동 1186-13,경상남도 김해시 우암로 35-1,478506,293106,,
868160,삼일슈퍼,광주광역시 서구 동천동,분식>종합분식,,경기도 광주시 오포읍 매산리 224-14,경기도 광주시 오포읍 매자리길 6,333494,528549,,
868166,선이네집밥,충청북도 진천군 진천읍 읍내리,,,,,,,,
868245,대국무역,광주광역시 남구 주월동,"쇼핑,유통>슈퍼,마트",,서울특별시 강서구 마곡동 798-11,서울특별시 강서구 마곡중앙로 55,296497,551368,,
868277,반찬맛담,전라북도 전주시 완산구 효자동2가,,,,,,,,
868309,치즈웨이브,인천광역시 미추홀구 학익동,숙박>펜션,,제주특별자치도 제주시 애월읍 애월리 1497,제주특별자치도 제주시 애월읍 애월남안길 9,243894,97605,,http://blog.naver.com/xiongmao33
868585,산과들 하우징,강원도 화천군 사내면 사창리,,,,,,,,
868589,치킨의민족창원성주점,경상남도 창원시 성산구 성주동,,,,,,,,
868833,이호빨간등대카페,제주특별자치도 제주시 이호일동,,,,,,,,
868891,hs푸드,경기도 수원시 팔달구 인계동,,,,,,,,
868919,군자대한곱창 수원호매실점,경기도 수원시,"쇼핑,유통>안경원",,서울특별시 광진구 중곡동 164-1,서울특별시 광진구 능동로 373,319119,551547,,http://blog.naver.com/imrandy
868946,구가명가 족보,경기도 부천시 도당동,"생활,편의>편의점",,서울특별시 노원구 상계동 693 104호,서울특별시 노원구 동일로 1426 104호,317294,561939,,http://gs25.gsretail.com/
869015,(주)준패키지,인천광역시 서구 원창동,,,,,,,,
869059,대박미래산업,인천광역시 계양구 효성동,"건강,의료>약국",,경기도 성남시 중원구 성남동 3502,경기도 성남시 중원구 성남대로 1132 모란역센트럴스퀘어 104호,323176,536899,,
869133,인천계양자활센터(뜰엔담),인천광역시 계양구 계산동,,,,,,,,
869298,투썸플레이스 당진CGV점,충청남도 당진시 읍내동,,,,,,,,
869351,송화약된장,경기도 수원시 장안구 천천동,,,,,,,,
869365,웅이네 오돌뼈 2동탄점,경기도 화성시 영천동,,,,,,,,
869519,주식회사 비엠씨케이(BMCK),서울특별시 강서구 마곡동,"전문,기술서비스>전문디자인",,경기도 고양시 일산동구 정발산동 1334-6,경기도 고양시 일산동구 율천로7번길 7-5,292871,563384,,https://www.instagram.com/brilliant.ink/
869547,순수씨과자점,대전광역시 중구 오류동,"교육,학문>독서실",,서울특별시 관악구 신림동 522-3,서울특별시 관악구 난곡로 339 유성빌딩 3층,304134,543019,,http://www.instagram.com/toz_studycenter_sillim
869571,오구본가향남점,경기도 화성시 향남읍 행정리,,,,,,,,
869692,달구나,부산광역시 연제구 연산동,음식점>죽,,서울특별시 광진구 중곡동 58-27,서울특별시 광진구 긴고랑로 115 노태영내과의원,319616,551179,,https://www.bonif.co.kr/menu/list?brdCd=BF101
869722,씨에이치(CH)커피하우스,충청남도 예산군 예산읍 예산리,"미용>네일아트,네일샵",,인천광역시 미추홀구 숭의동 42-127,인천광역시 미추홀구 수봉로 16-11 1층,281291,541156,,
869753,오얏,대구광역시 달서구 두류동,"쇼핑,유통>원예,화훼농원",,서울특별시 중구 필동1가 24-11,서울특별시 중구 퇴계로30길 14 1층 그리너리마켓 ,311135,551380,,
869893,큰손도깨비,대구광역시 달서구 용산동,,,,,,,,
869959,도현수산,대구광역시 북구 대현동,"병원,의원>피부과",,서울특별시 강남구 역삼동 821,서울특별시 강남구 테헤란로 101,314255,544506,,http://www.bblinegn.modoo.at
869979,어묵대가,대구광역시 동구 효목동,술집>이자카야,,대전광역시 서구 괴정동 424-21 1층,대전광역시 서구 용문로 31 1층,345214,415642,,
870053,유성스크린골프연습장,울산광역시 북구 진장동,,,,,,,,
870337,지에스25 운정아이파크점(상품권),경기도 파주시 동패동,,,,,,,,
870414,국제드림금거래소,대구광역시 달서구 송현동,"생활,편의>편의점",,충청북도 진천군 광혜원면 광혜원리 529-18,충청북도 진천군 광혜원면 화랑1길 20,350208,488157,,http://cu.bgfretail.com/
870458,오토카페 마산점,경상남도 창원시 마산회원구 내서읍 상곡리,,,,,,,,
870627,하타고(HATAGO),경기도 성남시 분당구 서현동,,,,,,,,
870810,뉴욕버거천안두정점,충청남도 천안시 서북구 두정동,"서비스,산업>장소대여",,경기도 고양시 일산서구 탄현동 1480 탄현마을7단지 상가 1층,경기도 고양시 일산서구 탄현로 60 탄현마을7단지 상가 1층 101호,291734,566810,,https://blog.naver.com/study7544
870822,힐링파워MSM,경기도 광주시 오포읍 신현리,,,,,,,,
871100,금실홍실,서울특별시 중랑구 면목동,"서비스,산업>기업",,서울특별시 동대문구 제기동  604,서울특별시 동대문구 왕산로33길 59,315551,553748,,
871152,김연종내과,경기도 의정부시 용현동,"생활,편의>목욕탕,사우나",,경상남도 통영시 태평동 228,경상남도 통영시 중앙로 191,439057,250100,,
871177,인 빠창가 BAR,서울특별시 강남구 역삼동,"생활,편의>남성전문미용실",,광주광역시 남구 임암동 874,광주광역시 남구 효천2로가길 11,297573,278673,,
871234,네일1980,부산광역시 부산진구 개금동,"생활,편의>미용실",,서울특별시 노원구 상계동 366-3 노원위너스빌딩 3층,서울특별시 노원구 상계로 97 노원위너스빌딩 3층,317749,562047,,http://instagram.com/woov_hair
871279,마라하오,서울특별시 강북구 수유동,"미용>속눈썹증모,연장",,강원도 정선군 정선읍 봉양리 320-2 2층,강원도 정선군 정선읍 봉양5길 42 2층,458860,531209,,
871347,해성푸드,대구광역시 수성구 지산동,양식>피자,,충청북도 청주시 청원구 우암동 43-3,충청북도 청주시 청원구 대성로254번길 31,354867,449877,,http://handmadepizza.co.kr
871361,해성노동법률사무소,서울특별시 강북구 번동,"생활,편의>편의점",,경기도 화성시 향남읍 상신리 1150-17,경기도 화성시 향남읍 장안로 851,301671,499514,,
871447,딜라이스,경상남도 창원시 성산구 사파동,주유소>SK주유소,,경기도 고양시 일산동 장항동 541-18,경기도 고양시 일산동 백마로 37,290786,560837,,http://www.skenergy.com/
871565,한민신불타는닭발(방학직영점),서울특별시 도봉구 방학동,,,,,,,,
871575,맑은건축and인테리어,경기도 여주시 현암동,"술집>맥주,호프",,서울특별시 구로구 구로동 1124-37 춘자빌딩 4층,서울특별시 구로구 디지털로32나길 16 춘자빌딩 4층,302965,542974,,
871937,솜키친,전라북도 전주시 덕진구 덕진동2가,"쇼핑,유통>채소",,경상북도 울진군 울진읍 읍내리 63,경상북도 울진군 울진읍 읍내2길 15,524991,488710,,
872204,뷰티루미,경기도 고양시 덕양구 원흥동,한식>소고기구이,,충청북도 진천군 진천읍 읍내리 185-26,충청북도 진천군 진천읍 백사천길 43,350663,473383,,
872226,일미어담,강원도 삼척시 갈천동,,,,,,,,
872566,쿠테타(KUDETA),서울특별시 강남구 신사동,"한식>찌개,전골",,경기도 수원시 영통구 이의동 1202-3 드림스퀘어1 102호,경기도 수원시 영통구 대학로 101 드림스퀘어1 102호,315730,522926,,http://www.tsbudae.com
