store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
7669,스테이크 컷츠,대구광역시 달성군 다사읍 매곡리,"생활,편의>고시원,고시텔",,서울특별시 서초구 양재동 367-6,서울특별시 서초구 동산로6길 47,315729,541234,,http://kakao1room.gosiwonshop.com/,X
7670,냠냠(Yum-Yum),부산광역시 부산진구 전포동,,,,,,,,,X
7772,성대으뜸고시원,서울특별시 종로구 명륜3가,,,,,,,,,X
7912,꽃보다강쥐,서울특별시 강서구 화곡동,"서비스,산업>기업",,충청북도 청주시 서원구 사직동 642-18,충청북도 청주시 서원구 호국로 46,353268,448036,,,X
7998,보리 (vory),서울특별시 성동구 금호동1가,스터디카페,,부산광역시 부산진구 양정동 399-21 3층,부산광역시 부산진구 거제대로 36 3층,497459,286413,,http://blog.naver.com/chorocgom,X
8038,북앤스터디,경상남도 진주시 평거동,"서비스,산업>장소대여",,서울특별시 송파구 잠실동 242-5 지하 1층,서울특별시 송파구 석촌호수로 110 지하 1층,319655,545444,,https://blog.naver.com/bm_js,X
8095,칼라모아페인트,경상북도 구미시 임수동,"음식점>치킨,닭강정",,충청북도 청주시 청원구 율량동 789,충청북도 청주시 청원구 율봉로159번길 52,354220,452306,,,X
8148,규린상회,서울특별시 금천구 독산동,,,,,,,,,X
8174,빼밀리다이어트전문클럽,서울특별시 양천구 신정동,,,,,,,,,X
8175,해도정육,경상북도 포항시 남구 해도동,"전기,가스,수도사업>가스제조,공급",,부산광역시 남구 대연동 882-12 2층,부산광역시 남구 유엔평화로 43 2층,499744,281903,,,X
8188,고속닭집유통,전라남도 목포시 산정동,"찌개,전골>아부찌부대찌개",,경기도 평택시 서정동 332-9 1층,경기도 평택시 정암로 13 1층,316175,495482,,,X
8219,집고치는재미,충청남도 천안시 동남구 봉명동,"생활,편의>편의점",,부산광역시 부산진구 전포동 268,부산광역시 부산진구 동성로 50 서면아이파크1단지 1021동 상가 18호,497569,284558,,http://gs25.gsretail.com/,X
8230,수보전자,서울특별시 서초구 서초동,,,,,,,,,X
8345,무인카페나우커피 인천 용현점,인천광역시 미추홀구 용현동,,,,,,,,,X
8370,루미에르 네일,대구광역시 북구,,,,,,,,,X
8515,화덕피자1986,경상북도 경산시 중산동,"스포츠,오락>당구장",,인천광역시 연수구 옥련동 194-4,인천광역시 연수구 독배로 35 아이에프빌딩,280214,536628,,,X
8612,아진세차장,충청북도 청주시 흥덕구 신봉동,교습학원>수학학원,,세종특별자치시 고운동 1731,세종특별자치시 마음로 49 가락마을2단지 근생209호,331647,433841,,https://cbnu6313.modoo.at,X
