store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
56,구주,서울특별시 중구 을지로6가,,,,,,,,
103,110커피(110 COFFEE),경기도 남양주시 별내동,"음식점>카페,디저트",,경기도 남양주시 별내동 1015,경기도 남양주시 별내중앙로 64 1층 110호,322830,561003,,http://www.instagram.com/110coffee_official
145,(주)정오아카데미 상명대점,서울특별시 종로구 홍지동,,,,,,,,
167,(주)지오스이엔씨,인천광역시 연수구 송도동,,,,,,,,
174,타임코스메틱,부산광역시 남구 대연동,,,,,,,,
414,티케이(TK)바이크샵,부산광역시 남구 용당동,"생활,편의>오토바이수리",,부산광역시 남구 용당동 568-58,부산광역시 남구 유엔평화로143번길 11,500201,281155,,
418,(주) 벤포트,서울특별시 강동구 명일동,,,,,,,,
483,스터디카페구겐하임 율하점,대구광역시 동구,"서비스,산업>장소대여",,대구광역시 동구 율하동 1445 타임스퀘어 4층 407호,대구광역시 동구 안심로16길 47 타임스퀘어 4층 407호,462850,362815,,http://guggenstudyuh.modoo.at/
620,왕언니 피자치킨,경기도 이천시 백사면 현방리,음식점>피자,,경기도 이천시 백사면 현방리 73-16,경기도 이천시 백사면 현방로 81,355207,526584,,http://0316333655.tshome.co.kr/
650,디엠이벤트,광주광역시 서구 풍암동,,,,,,,,
673,지니파이,경기도 수원시 팔달구 인계동,,,,,,,,
836,한화이앤지,전라북도 완주군 이서면 갈산리,"전기,가스,수도사업>발전설비",,전라북도 완주군 이서면 갈산리 665-6,전라북도 완주군 이서면 오공로 11-10 참사랑빌딩 301호,315025,360035,,http://hanwhaeng.co.kr
903,에릭웨이브(ERIC WAVE),부산광역시 수영구 광안동,,,,,,,,
1021,사뿐사뿐 발관리,광주광역시 북구 오치동,,,,,,,,
1128,짜이티앙타이식당,경기도 성남시 중원구 성남동,음식점>태국음식,,경기도 성남시 중원구 성남동 2437 1층,경기도 성남시 중원구 광명로100번길 16-1 1층,324191,537286,,
1152,웅숭찬,광주광역시 광산구 신가동,"쇼핑,유통>반찬가게",,광주광역시 광산구 신가동 1179,광주광역시 광산구 하남대로261번길 28,292996,287620,,
1183,아이쁘네#,경기도 동두천시 보산동,,,,,,,,
1267,개인택시 36바7144,부산광역시 해운대구 반송동,,,,,,,,
1337,충만치킨 신당점,서울특별시 중구 신당동,"음식점>치킨,닭강정",,서울특별시 중구 신당동 47-6,서울특별시 중구 퇴계로86길 101,313464,551466,,
1384,DESIGNGRAB,서울특별시 영등포구 문래동3가,,,,,,,,
1425,권실장참마찹쌀꽈배기호계점,울산광역시 북구 호계동,"카페,디저트>베이커리",,울산광역시 북구 호계동 214-11,울산광역시 북구 호계로 273 1층,522564,337283,,
1525,아이스크림and 과자,경기도 고양시 일산동구 식사동,,,,,,,,
1571,쿠키달,충청남도 아산시 온천동,,,,,,,,
1593,금동봉자순대국밥,광주광역시 동구 금동,,,,,,,,
1678,힐스템봉명지점,충청북도 청주시 흥덕구 봉명동,,,,,,,,
1799,제이커피(J COFFEE),경상북도 경주시 안강읍 안강리,,,,,,,,
1938,가야냉난방수도설비,전라남도 순천시 해룡면 상삼리,,,,,,,,
2091,말랑공방,인천광역시 서구 청라동,"생활,편의>공방",,인천광역시 서구 청라동 157-21 B동 2223호,인천광역시 서구 청라커낼로260번길 27,280618,548650,,http://instagram.com/mallang.studio
2173,주식회사 밀본,인천광역시 중구 운서동,,,,,,,,
2189,어화돈. 꽃피는바다,경기도 수원시 권선구 권선동,한식>생선회,,경기도 수원시 권선구 권선동 1296-5,경기도 수원시 권선구 동수원로 232 2층,314557,516963,,http://instagram.com/fishi.flower0
2264,빌라 드 코스테스,서울특별시 성북구 하월곡동,"음식점>카페,디저트",,서울특별시 성북구 하월곡동 46-85,서울특별시 성북구 화랑로5길 4,315353,556042,,http://instagram.com/villa.de_costes
2360,히앤,서울특별시 강남구 도곡동,"생활,편의>미용실",,서울특별시 강남구 도곡동 424-8,서울특별시 강남구 논현로26길 29,315710,542768,,http://www.instagram.com/tteo_hi
2380,세븐일레븐 서초아이파크점,서울특별시 서초구,,,,,,,,
