store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
595097,멕시카나 송도점,부산광역시 서구 암남동,"생활,편의>편의점",,대구광역시 동구 신천동 686-15,대구광역시 동구 동부로6길 57,455962,363720,,
595167,씨유(CU)신천휴먼시아점,대구광역시 동구 신천동,"건강,의료>병원,의원",,"전라남도 순천시 인제동 367-15 2,3층",전라남도 순천시 성남뒷길 21,353689,260893,,
595293,순천성모의원,전라남도 순천시 인제동,,,,,,,,
595432,꿀단지(대인261번),인천광역시 남동구 남촌동,음식점>한식,,제주특별자치도 제주시 애월읍 소길리 674-1,제주특별자치도 제주시 애월읍 장소로 162,249592,94768,,http://www.instagram.com/aewolhonbab
595504,애월1인식당,제주특별자치도 제주시 애월읍 소길리,,,,,,,,
595735,아민(amin),서울특별시 서대문구 남가좌동,"쇼핑,유통>자동판매기",,부산광역시 북구 금곡동 96-1,부산광역시 북구 효열로 195 유림아파트 상가동 1층 105,492827,296386,,
595809,나우커피 금곡점,부산광역시 북구 금곡동,세차>셀프세차,,서울특별시 노원구 상계동 1023-13,서울특별시 노원구 동일로230가길 50 워시히어로,317043,563922,,http://instagram.com/washhero_nowon
595891,워시 히어로(wash hero),서울특별시 노원구 상계동,,,,,,,,
595941,이선생짜글이 안양인덕원점,경기도 안양시 동안구 평촌동,,,,,,,,
596098,애플꼬마김밥 (개신점),충청북도 청주시 서원구 개신동,,,,,,,,
596170,은성전자냉동서비스,대전광역시 유성구 봉산동,,,,,,,,
596273,공감스터디라운지 정관점,부산광역시 기장군 정관읍 용수리,"생활,편의>편의점",,인천광역시 부평구 십정동 387-41,인천광역시 부평구 이규보로 34-4,285298,542367,,
596285,씨유(CU)부평더샵점,인천광역시 부평구 십정동,출판사>인터넷신문,,경기도 의왕시 오전동 112-12 301호,경기도 의왕시 경수대로 369 301호,308603,528922,,http://www.newsuiwang.com
596479,미디어이레,경기도 의왕시 오전동,"음식점>카페,디저트",,경기도 시흥시 정왕동 1270 동원베네스트 1층 115호,경기도 시흥시 소망공원로 232 동원베네스트 1층 115호,287057,526417,,http://instagram.com/cafe_tomorrow_
596480,내일도,경기도 시흥시 정왕동,,,,,,,,
596583,농사랑 타이레스토랑,경기도 고양시 일산동구 장항동,"쇼핑,유통>정장",,경기도 광주시 경안동 35-5,경기도 광주시 경안안길 82,334477,534459,,
596666,파크랜드 경기광주점,경기도 광주시 경안동,"쇼핑,유통>건강기능보조식품",,강원도 인제군 인제읍 귀둔리 1055-1,강원도 인제군 인제읍 필례약수길 27,432754,607793,,
596772,털보네,강원도 인제군 인제읍 귀둔리,,,,,,,,
596904,카카오(기프티콘),서울특별시 강남구 역삼동,,,,,,,,
596979,문바이오,대전광역시 유성구 도룡동,"생활,편의>운세,사주",,경기도 고양시 일산서구 일산동 576-12,경기도 고양시 일산서구 고봉로297번길 30 4층,292207,565529,,http://www.01031206675.co.kr
597171,해인정사,경기도 고양시 일산서구 일산동,"술집>맥주,호프",,전라남도 순천시 조례동 1701-7,전라남도 순천시 남신월1길 8-5,356282,261974,,
597193,백스비어순천조례점,전라남도 순천시 조례동,"카페,디저트>카페",,부산광역시 수영구 민락동 774,부산광역시 수영구 무학로63번길 142,502188,286017,,
597352,컴포즈커피 센텀비스타점,부산광역시 수영구 민락동,"카페,디저트>카페",,대구광역시 수성구 수성동3가 5-1,대구광역시 수성구 달구벌대로 2362 범어영타워 1층,456270,362305,,http://www.instagram.com/yogerpresso_dgs
597355,요거프레소대구수성점,대구광역시 수성구 수성동3가,,,,,,,,
597418,주식회사 고움,경기도 광주시 태전동,,,,,,,,
597497,남도물소리,대전광역시 유성구 봉산동,,,,,,,,
