store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
85,춘천크리너스,강원도 춘천시 동내면 사암리,,,,,,,,,X
165,프라임시스,인천광역시 남동구 만수동,,,,,,,,,X
313,마왕족발 모현점,전라북도 익산시 모현동1가,"육류,고기요리>족발,보쌈",,전라북도 익산시 모현동1가 872,전라북도 익산시 선화로3길 12,304492,372806,,http://mawangpork.com/,O
335,미라,경기도 남양주시 별내동,"쇼핑,유통>화장품,향수",,경기도 남양주시 별내동 1006-1,경기도 남양주시 별내중앙로 30 803호,323042,560762,,,O
752,송덮밥 고읍점,경기도 양주시 광사동,음식점>한식,,경기도 양주시 광사동 677-11,경기도 양주시 고읍남로191번길 85-81 101호 송덮밥,319179,576837,,,O
807,제주돈담,제주특별자치도 제주시 노형동,음식점>한식,,제주특별자치도 제주시 노형동 1062-1,제주특별자치도 제주시 수덕7길 1,258643,100079,,,O
902,루히게 케라믹(7982아틀리에),경기도 이천시 신둔면 고척리,,,,,,,,,X
985,동구소나무치과,대구광역시 동구 신천동,"병원,의원>치과",,대구광역시 동구 신천동 283-6 2층,대구광역시 동구 동부로 88 2층,456373,364123,,,O
990,별미(米)당,경기도 성남시 분당구 구미동,,,,,,,,,X
1038,뱅커 피 (BANKER),울산광역시 중구 유곡동,,,,,,,,,X
1045,월드겔러리,서울특별시 동대문구 답십리동,,,,,,,,,X
1142,카페니치 인동점,대전광역시 동구 인동,"음식점>카페,디저트",,대전광역시 동구 인동 352,,349645,413786,,,O
1161,진주 필름,전라남도 목포시 용해동,,,,,,,,,X
1176,예천육묘장,경상북도 예천군 예천읍 석정리,"농업>종자,묘목재배",,경상북도 예천군 예천읍 석정리 305-1,,437421,450131,,http://예천육묘장.com,O
1426,농업회사법인 방앗간코리아 주식회사,세종특별자치시 연서면 신대리,,,,,,,,,X
1430,송도캠퍼스수학학원,인천광역시 연수구 송도동,교습학원>수학학원,,인천광역시 연수구 송도동 149 애비뉴상가B동3층310호,인천광역시 연수구 송도과학로27번길 55,281955,532693,,,O
1658,더밥스토리와 파리에 다녀온 치킨,서울특별시 성동구 행당동,,,,,,,,,X
1675,스위트애드광고디자인,경상남도 진주시 명석면 우수리,,,,,,,,,X
1734,지엔지컴퍼니(GNG Company),경기도 고양시 덕양구 향동동,,,,,,,,,X
1793,별님책방,경기도 김포시 사우동,"도서,음반,문구>아동도서",,경기도 김포시 사우동 872,경기도 김포시 사우중로 92 2층 203호,287355,558568,,,O
1819,대도당구장,대구광역시 서구 중리동,"스포츠,오락>당구장",,대구광역시 서구 중리동 721-30,대구광역시 서구 달구벌대로329길 73,449400,362005,,,O
1829,지에스25 녹양휴먼시아점(상품권),경기도 의정부시 녹양동,,,,,,,,,X
1860,돈까스 보라,서울특별시 종로구 연건동,,,,,,,,,X
2034,인주,충청남도 아산시 인주면 문방리,"한식>장어,먹장어요리",,충청남도 아산시 인주면 문방리 372-1,충청남도 아산시 인주면 아산만로 1546 원조장어,299500,474179,,,O
2228,더착한커피 하안점,경기도 광명시 하안동,"카페,디저트>카페",,경기도 광명시 하안동 62-2,경기도 광명시 하안로288번길 6,301236,540558,,http://blog.naver.com/smartcorp7,O
2285,금당집,경상남도 김해시 외동,,,,,,,,,X
2306,수투키스튜디오,경기도 군포시 산본동,,,,,,,,,X
2392,(주)한경자동차,서울특별시 강서구 가양동,"전시,판매>중고차",,서울특별시 강서구 가양동  56-2,서울특별시 강서구 양천로 390,298156,552136,,,O
2439,비아이유,서울특별시 중구 충무로5가,,,,,,,,,X
2462,지에스25 안성칠곡,경기도 안성시 원곡면 칠곡리,"생활,편의>편의점",,경기도 안성시 원곡면 칠곡리 564-2,경기도 안성시 원곡면 만세로 1182,324605,493887,,http://gs25.gsretail.com/,O
2593,쉼suim,경상북도 포항시 남구 오천읍 용덕리,,,,,,,,,X
2605,아모르바베큐파티,경기도 부천시 소사본동,"한식>육류,고기요리",,경기도 부천시 소사본동 78-13 1층 일부호,경기도 부천시 호현로474번길 15 1층 일부호,293533,542626,,,O
2621,에스모텔(S-Motel),경기도 의정부시 의정부동,,,,,,,,,X
2627,브라보 치킨 피자,부산광역시 서구 서대신동1가,음식점>피자,,"부산광역시 서구 서대신동1가 283 110동 104호(서대신동1가, 대신푸르지오)",부산광역시 서구 대영로38번길 11,492708,279238,,,O
2647,이엔씨(E.N.C)공사,인천광역시 중구 운북동,,,,,,,,,X
2700,(주)엘케이사이언스,대구광역시 수성구 두산동,,,,,,,,,X
2713,오랑(orang),서울특별시 용산구 용산동2가,"카페,디저트>카페",,서울특별시 용산구 용산동2가 1-62,서울특별시 용산구 소월로20길 26-14,310509,549698,,http://www.orangorang.co.kr/,O
2751,세림,경상남도 창원시 마산회원구 합성동,"쇼핑,유통>슈퍼,마트",,경상남도 창원시 마산회원구 합성동 163-20,경상남도 창원시 마산회원구 합성남8길 33,453533,293454,,,O
2776,아이갓에브리씽완산수영장점,전라북도 전주시 완산구 효자동2가,"음식점>카페,디저트",,전라북도 전주시 완산구 효자동2가 235-1,전라북도 전주시 완산구 쑥고개로 366-7,319414,356240,,,O
2946,에프엠테크주식회사,경기도 파주시 탄현면 오금리,,,,,,,,,X
2976,최주영 춘천닭갈비 사직점,부산광역시 동래구 사직동,한식>닭갈비,,부산광역시 동래구 사직동 140-18,부산광역시 동래구 여고로113번길 59-3 1층 최주영 춘천닭갈비 사직점,498008,289646,,http://instagram.com/eshdor,O
3348,연산불백윤식당,부산광역시 연제구 연산동,음식점>한식,,부산광역시 연제구 연산동 1123-13,부산광역시 연제구 중앙대로1133번길 12-2 1층 연산불백,498567,288307,,http://instagram.com/yoonsikdang_busan,O
3358,와인싸롱뱅뱅,경기도 성남시 수정구 수진동,,,,,,,,,X
3641,더불어 사는세상,충청남도 계룡시 엄사면 엄사리,"사회,복지>노인복지",,충청남도 계룡시 엄사면 엄사리 337-1,"충청남도 계룡시 엄사면 번영로 99 1층, 더불어사는세상재가센터",331475,409849,,http://계룡방문요양.kr,O
3689,찰지당,부산광역시 남구 용호동,"카페,디저트>베이커리",,부산광역시 남구 용호동 516-10,부산광역시 남구 동명로152번길 93 1층 23호,501632,280127,,http://blog.naver.com/chaljidang,O
3736,슘,경기도 성남시 중원구 금광동,,,,,,,,,X
3868,밥상예음,전라북도 완주군 이서면 갈산리,,,,,,,,,X
4159,명 아트월,인천광역시 남동구 간석동,,,,,,,,,X
4204,신가썬팅,대구광역시 동구 입석동,,,,,,,,,X
4246,또봉이통닭 광양읍점,전라남도 광양시 광양읍 칠성리,"음식점>치킨,닭강정",,전라남도 광양시 광양읍 칠성리 952,전라남도 광양시 광양읍 서북2길 11,361684,263738,,,O
4312,플렉스 주식회사,전라남도 여수시 학동,,,,,,,,,X
4396,쿡1015,경상남도 창원시 성산구 상남동,식료품>반찬가게,,경상남도 창원시 성산구 상남동 45-1,경상남도 창원시 성산구 동산로 122,463057,291277,,,O
4697,양마니명동찌개마을,강원도 원주시 반곡동,"한식>찌개,전골",,강원도 원주시 반곡동 1924-6,강원도 원주시 황금로 5,399101,525109,,,O
4883,엘피지넘버원,서울특별시 서대문구 창천동,,,,,,,,,X
