title,category,telephone,address,roadAddress,mapx,mapy,description,link
S풋살클럽,"스포츠,오락>풋살장",031-944-9544,경기도 파주시 하지석동 149,경기도 파주시 하늘채길 31 경기자원,290309,573325,,
에스빌드 풋살파크,"스포츠,오락>풋살장",1577-4228,경기도 수원시 팔달구 우만동 228,경기도 수원시 팔달구 월드컵로 310 에스빌드풋살파크,315154,521202,,http://sbuild.co.kr/
S풋볼아카데미,"스포츠,레크레이션학원>축구교실",031-373-0567,경기도 오산시 내삼미동 854-13,경기도 오산시 수청로50번길 25-5,316551,508626,,http://cafe.naver.com/jsfootball
